,r0,r1,r2,r3,r4,r5,r6,r7,g0,g1,g2,g3,g4,g5,g6,g7,b0,b1,b2,b3,b4,b5,b6,b7,total_income_2_b,total_deprivations,Wealth_Index,total_deprivations_2,Poor_MPI,Severely_Poor_MPI,train,truck,car,potted plant,person
328,18699,44185,40145,67919,317195,294909,71144,67404,18325,54631,67016,152706,419873,74865,55235,78949,56432,140367,238403,405722,219619,9428,71422,87407,110000.0,0.16699999999999998,1.6204953000000002,1,Non_Poor,Non_Severely_Poor,0,1,2,0,3
329,1264,20281,34214,43033,139485,282731,152274,17918,967,33233,44100,80914,269760,208450,36591,17185,2283,52196,128492,330842,284177,87427,18321,17862,121000.0,0.44599998,-2.5486634,5,Poor,Non_Severely_Poor,0,0,0,0,0
330,27429,86272,76115,100227,232945,89502,9796,68914,25368,102610,89651,128472,198790,67567,7032,71710,75616,128317,157475,251514,150856,60170,9614,88038,648000.0,0.55699998,-1.3664585,5,Poor,Poor,0,0,7,0,3
331,45329,36313,39109,79265,148101,156419,169755,16909,45742,42540,70755,89627,177449,166574,85546,12967,97481,120066,156941,243507,86434,37462,148835,30874,240000.0,0.16699999999999998,4.3866096,1,Non_Poor,Non_Severely_Poor,0,0,0,0,2
332,36553,50157,111968,113671,112419,284662,208290,3880,50838,79260,127908,119417,209562,128851,180047,25717,124964,184978,195269,202445,152548,89645,95179,183772,60000.0,0.27899998,-2.9062057,2,Non_Poor,Non_Severely_Poor,0,0,2,0,8
333,87051,53462,65000,82257,191088,264582,60359,117801,104259,100983,91646,88038,151817,249358,117055,18444,236551,181260,120123,176627,242314,179472,76432,16021,84571.43,0.16699999999999998,-1.0438707,1,Non_Poor,Non_Severely_Poor,0,0,0,0,4
334,58832,61671,97998,101457,140310,133554,209976,117802,84850,122404,76713,154904,157561,185116,103908,36144,180640,196674,273492,291662,147803,53043,31616,53870,160000.0,0.22299999,-0.94549716,2,Non_Poor,Non_Severely_Poor,0,0,0,0,1
335,921,11970,29720,20766,76852,451012,99593,366,11638,9798,44129,100997,396742,127002,863,31,15936,45743,257897,470640,126097,4919,325,43,400000.0,0.33399999,3.1351039000000003,3,Poor,Non_Severely_Poor,0,0,0,0,0
336,18489,88487,126346,87497,96446,213308,258788,32239,24897,121272,111232,101038,107944,248819,161149,45249,65861,157751,166068,196522,251259,95217,142896,153226,20571.428,0.391,-5.3416123,5,Poor,Non_Severely_Poor,0,0,0,0,9
337,15151,55192,60843,141573,287354,199402,139026,23059,4155,60686,85828,136860,286078,169127,153464,25402,8371,52854,86241,249848,449515,189792,177228,14951,56000.0,0.50199997,-1.9317563,5,Poor,Poor,0,0,0,0,0
338,9465,71457,97985,95808,113932,248711,255145,29097,14272,109938,123065,126858,172981,204044,144082,26360,57093,226644,237116,251091,177824,72245,105068,101719,90000.0,0.22299999,4.3791437,2,Non_Poor,Non_Severely_Poor,0,0,1,0,6
339,113848,53416,47442,132666,233350,178308,63518,99052,30420,63398,89228,188639,223402,180926,44869,100718,23622,71953,112338,296549,371197,210188,9405,133548,37000.0,0.38999999,0.58149755,4,Poor,Non_Severely_Poor,0,0,0,0,0
340,652,22174,65499,117869,448924,138771,96710,31001,863,22650,81651,140474,506079,62030,38440,69413,3541,41288,146981,284699,542292,89116,32201,88682,0.0,0.27899998,-2.7847266,2,Non_Poor,Non_Severely_Poor,0,0,0,0,14
341,27596,44857,68184,104537,213045,163316,59803,9862,50676,61002,62775,88613,190005,157532,72915,7682,114977,113262,100520,119965,213277,165212,59889,34498,59000.0,0.27899998,-2.8345547000000004,2,Non_Poor,Non_Severely_Poor,0,0,0,0,1
342,37391,67082,99069,134370,241567,200804,80848,60469,16073,53510,143974,172814,221794,175740,77238,60457,74959,188074,271021,260345,187696,122719,47594,76392,602142.88,0.38999999,0.24338558,4,Poor,Non_Severely_Poor,0,0,0,0,0
343,21644,75476,116397,119640,65277,46521,150198,96047,11844,83787,167513,103844,46668,83919,182480,11145,123401,211913,100682,111558,218636,64250,73166,17994,0.0,0.27899998,-1.2247837,2,Non_Poor,Non_Severely_Poor,0,0,0,0,6
344,2529,10890,18404,60851,126498,259566,369325,73537,4529,35509,63507,119965,322910,260424,112684,2072,55559,212711,359555,358724,41376,47416,150781,2678,75000.0,0.22299999,-0.45635873,2,Non_Poor,Non_Severely_Poor,0,0,0,0,2
345,10610,34593,87084,134674,163222,214208,258983,18226,15665,64972,140326,170086,212746,187363,100593,29849,108424,229658,271067,244971,146427,62663,28874,136716,39000.0,0.22299999,-1.4102697,2,Non_Poor,Non_Severely_Poor,0,0,1,0,1
346,66195,54790,43187,74724,163285,180405,166064,172950,79813,78441,98439,202821,159150,222718,61897,18321,168127,323905,229125,217128,168415,75090,11012,35998,51000.0,0.22299999,-1.1959486,2,Non_Poor,Non_Severely_Poor,0,0,0,0,0
347,25343,60614,91720,122687,138402,192874,152518,137442,37786,154892,125948,128116,204499,96016,63063,111280,151165,259603,220887,132023,147777,100678,102775,113892,530000.0,0.22299999,4.7122221,2,Non_Poor,Non_Severely_Poor,0,0,1,0,0
348,4921,24682,25376,58989,208995,318873,245360,34404,11102,33450,63303,159138,225936,311066,89371,28234,40566,90310,231796,312359,310487,159471,55629,28182,20000.0,0.22299999,-2.2735379,2,Non_Poor,Non_Severely_Poor,0,0,0,0,13
349,251,7317,30264,91739,345204,352360,24249,70216,433,10711,61566,197251,451284,103543,22745,74067,2564,87625,258653,459475,205358,59042,31070,125013,77785.711,0.38999999,-0.86836761,4,Poor,Non_Severely_Poor,0,0,0,0,11
